Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,pair_similarity,mps,pp,mps_pp,mcs
18218,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00005740228,CC(C)CC1N=C(O)C2CCCN2C1=O,0.701920928,13.0,0.722222222,13.0,0.882352941
18219,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00005747069,CC(C)CC1N=C(O)C2CCCN2C1=O,0.580108611,5.0,0.277777778,5.0,0.882352941
10034,66,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,349.1261292,CNP0074235,O=C1C(=O)C(=C(O)C=2C(O)=C(OC)C(OC)=CC12)CCC(=O)CCC,0.79815793,1.0,0.25,1.0,0.724137931
1844,8,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,349.0671082,CNP0022470,O=C(OC)C=1C=2C=C(OCC3=CC=C(F)C=C3Cl)C=CC2OC1C,0.770091355,1.0,0.5,1.0,0.6875
18228,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00000846242,CC(C)CC1NC(=O)C2CCCN2C1=O,0.874850522,15.0,0.833333333,15.0,1.0
18229,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00000848185,CC(C)CC1NC(=O)C2CCCN2C1=O,0.837196194,10.0,0.555555556,10.0,1.0
18230,99,CC(C)CC1NC(=O)C2CCCN2C1=O,233.1257172,CCMSLIB00000848186,CC(C)CC1NC(=O)C2CCCN2C1=O,0.43059583,2.0,0.666666667,2.0,1.0
18233,4,C(O)(=O)C1=CC=C([C@](O)(C)CCCC(C)=C)C(O)=C1,287.1239929,CCMSLIB00010105445,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,0.863684893,1.0,0.006451613,1.0,0.310344828
18234,4,C(O)(=O)C1=CC=C([C@](O)(C)CCCC(C)=C)C(O)=C1,287.1239929,CCMSLIB00010108259,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,0.863684893,1.0,0.006451613,1.0,0.310344828
18235,4,C(O)(=O)C1=CC=C([C@](O)(C)CCCC(C)=C)C(O)=C1,287.1239929,CCMSLIB00010108262,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,0.863684893,1.0,0.006451613,1.0,0.310344828
